"filename", "language", "JSON", "JavaScript", "vue", "Markdown", "JSON with Comments", "HTML", "XML", "PostCSS", "Batch", "Java Properties", "Java", "comment", "blank", "total"
"c:\Users\Moreno\Desktop\PROGRAMACION\DESOFT1\BUDDYFINV\backendbuddyfinv\src\main\java\com\es\backendbuddyfinv\service\impl\UsuarioService.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 8, 19, 74
"c:\Users\Moreno\Desktop\PROGRAMACION\DESOFT1\BUDDYFINV\backendbuddyfinv\src\main\java\com\es\backendbuddyfinv\service\impl\VentaService.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 8, 23, 96
"c:\Users\Moreno\Desktop\PROGRAMACION\DESOFT1\BUDDYFINV\backendbuddyfinv\src\main\resources\application.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 2, 12
"c:\Users\Moreno\Desktop\PROGRAMACION\DESOFT1\BUDDYFINV\backendbuddyfinv\src\test\java\com\es\backendbuddyfinv\BackendbuddyfinvApplicationTests.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 5, 14
"c:\Users\Moreno\Desktop\PROGRAMACION\DESOFT1\BUDDYFINV\frontendbuddyfinv\.prettierrc.json", "JSON", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Moreno\Desktop\PROGRAMACION\DESOFT1\BUDDYFINV\frontendbuddyfinv\README.md", "Markdown", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 16, 45
"c:\Users\Moreno\Desktop\PROGRAMACION\DESOFT1\BUDDYFINV\frontendbuddyfinv\eslint.config.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 27
"c:\Users\Moreno\Desktop\PROGRAMACION\DESOFT1\BUDDYFINV\frontendbuddyfinv\index.html", "HTML", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\Moreno\Desktop\PROGRAMACION\DESOFT1\BUDDYFINV\frontendbuddyfinv\jsconfig.json", "JSON with Comments", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Moreno\Desktop\PROGRAMACION\DESOFT1\BUDDYFINV\frontendbuddyfinv\package-lock.json", "JSON", 4293, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4294
